tick,note,measure
0,48,0
0,45,0
0,41,0
0,30,0
240,34,0
480,46,0
480,39,0
640,48,0
720,41,0
800,47,0
960,48,0
960,43,0
1200,45,0
1200,41,0
1440,46,0
1440,43,0
1600,48,0
1760,47,0
1920,48,1
1920,43,1
1920,26,1
2160,49,1
2160,44,1
2160,30,1
2400,49,1
2400,44,1
2400,35,1
2640,37,1
2880,42,1
2880,39,1
3360,44,1
3840,48,2
3840,43,2
3840,29,2
4080,49,2
4080,44,2
4080,33,2
4320,49,2
4320,44,2
4320,37,2
4560,39,2
4800,45,2
5280,43,2
5440,48,2
5600,47,2
5760,47,3
5760,45,3
5760,41,3
5760,25,3
6000,48,3
6000,29,3
6240,48,3
6240,33,3
6480,34,3
6720,36,3
6960,34,3
7200,36,3
7440,41,3
7680,48,4
7920,44,4
7920,33,4
8160,44,4
8160,37,4
8400,48,4
8400,33,4
8640,47,4
8640,40,4
8640,28,4
8880,33,4
9120,40,4
9120,35,4
9280,45,4
9440,46,4
9600,47,5
9600,43,5
9600,40,5
9600,27,5
9840,43,5
9840,32,5
10080,43,5
10080,34,5
10320,47,5
10320,27,5
10560,46,5
10560,39,5
10800,45,5
10800,32,5
11040,45,5
11280,44,5
11280,32,5
11520,46,6
11520,42,6
11520,39,6
11520,26,6
11760,30,6
12000,34,6
12240,35,6
12480,37,6
12720,35,6
12960,37,6
13120,46,6
13280,47,6
13440,47,7
13440,27,7
13680,31,7
13920,44,7
13920,33,7
14160,31,7
14400,48,7
14400,34,7
15360,48,8
15360,45,8
15360,41,8
15360,30,8
15600,34,8
15840,46,8
15840,39,8
16000,48,8
16080,34,8
16160,47,8
16320,48,8
16320,37,8
16560,45,8
16560,34,8
16800,46,8
16800,39,8
16960,48,8
17040,34,8
17120,47,8
17280,48,9
17280,43,9
17280,26,9
17520,49,9
17520,44,9
17520,30,9
17760,49,9
17760,44,9
17760,35,9
18000,37,9
18240,42,9
18480,37,9
18720,44,9
18720,33,9
18960,26,9
19200,48,10
19200,43,10
19200,29,10
19440,49,10
19440,44,10
19440,33,10
19680,49,10
19680,44,10
19680,37,10
19920,33,10
20160,45,10
20160,35,10
20400,33,10
20640,43,10
20640,35,10
20800,48,10
20880,29,10
20960,47,10
21120,47,11
21120,45,11
21120,41,11
21120,25,11
21360,48,11
21360,29,11
21600,48,11
21600,33,11
21840,34,11
22080,36,11
22320,34,11
22560,41,11
22800,48,11
23040,48,12
23040,41,12
23280,44,12
23280,33,12
23520,44,12
23520,37,12
23760,48,12
23760,33,12
24000,47,12
24000,40,12
24000,28,12
24240,33,12
24640,45,12
24800,46,12
24960,47,13
24960,43,13
24960,40,13
24960,27,13
25200,43,13
25200,32,13
25440,43,13
25440,34,13
25680,47,13
25680,32,13
25920,46,13
25920,39,13
26160,45,13
26160,32,13
26400,45,13
26640,44,13
26640,32,13
26880,46,14
26880,42,14
26880,39,14
26880,26,14
27120,30,14
27360,34,14
27600,35,14
27840,37,14
28080,35,14
28320,39,14
28480,46,14
28560,37,14
28640,47,14
28800,47,15
28800,27,15
29040,31,15
29280,44,15
29280,34,15
29520,31,15
29760,48,15
29760,33,15
30400,39,15
30560,40,15
30720,37,16
30720,41,16
30720,28,16
30960,32,16
31200,37,16
31200,34,16
31360,41,16
31440,32,16
31520,41,16
31680,41,16
31680,34,16
31920,32,16
32160,37,16
32160,34,16
32320,40,16
32400,28,16
32480,39,16
32640,36,17
32640,40,17
32640,27,17
32880,32,17
33120,36,17
33120,33,17
33360,32,17
33600,34,17
33840,32,17
34080,33,17
34240,39,17
34320,32,17
34400,38,17
34560,35,18
34560,39,18
34560,26,18
34800,30,18
35040,35,18
35040,32,18
35280,30,18
35520,34,18
35760,30,18
35840,35,18
36000,35,18
36000,32,18
36160,39,18
36240,26,18
36320,40,18
36480,40,19
36480,27,19
36720,31,19
36960,36,19
36960,33,19
37200,31,19
37440,38,19
37440,34,19
37680,31,19
37920,41,19
37920,33,19
38080,42,19
38160,27,19
38240,43,19
38400,44,20
38400,40,20
38400,22,20
38400,29,20
38640,26,20
38880,40,20
39040,44,20
39120,33,20
39200,43,20
39360,44,20
39360,35,20
39840,40,20
39840,35,20
40000,44,20
40080,29,20
40160,43,20
40320,44,21
40320,41,21
40320,25,21
40560,29,21
40800,34,21
41040,29,21
41280,40,21
41520,29,21
41760,39,21
41760,34,21
41920,46,21
42000,29,21
42080,47,21
42240,25,22
43040,47,22
43920,25,22
44000,47,22
44160,21,23
44160,28,23
44400,32,23
44640,43,23
44640,36,23
44880,32,23
45120,42,23
45360,32,23
45600,42,23
45600,35,23
45840,28,23
45920,49,23
46080,50,24
46080,46,24
46080,43,24
46080,19,24
46080,26,24
46320,43,24
46320,30,24
46560,46,24
46560,34,24
46720,50,24
46800,35,24
46880,49,24
47040,50,24
47040,37,24
47280,43,24
47280,30,24
47520,46,24
47520,34,24
47680,50,24
47760,26,24
47840,49,24
48000,50,25
48000,46,25
48000,43,25
48000,22,25
48000,29,25
48240,36,25
48240,33,25
48480,39,25
48480,35,25
48720,40,25
48720,33,25
48960,38,25
48960,35,25
49200,33,25
49440,36,25
49600,50,25
49600,43,25
49680,29,25
49760,51,25
49760,44,25
49920,47,26
49920,20,26
49920,27,26
50400,33,26
